ID,file.y,Toluene_adj,Benzaldehyde,Acetophenone,Benzyl Benzoate,Phenylacetaldehyde,Benzyl Alcohol,Phenylethyl Alcohol,Benzyl Acetate,4-Methoxybenzaldehyde,4-Oxoisophorone,NFlowers
7945,201109,86.53333333333333,185349.193,9899.147,NA,NA,NA,NA,NA,NA,NA,5
7946,201109,86.53333333333333,55631273.09600001,326318.97500000003,77025.79300000002,NA,1891563.8590000002,64142.022,3558416.959,NA,NA,5
7947,201109,86.53333333333333,207965.04200000002,7798.237000000001,NA,NA,NA,NA,NA,NA,NA,5
7948,201109,86.53333333333333,115083.198,16916.639,NA,NA,NA,NA,NA,NA,NA,5
7950,201109,144.2222222222222,201570.33700000006,12609.414,NA,NA,5095.457,81497.795,NA,NA,NA,3
7951,201109,61.8095238095238,200080.089,8158.165000000001,NA,NA,NA,34358.476,NA,NA,NA,7
7953,201109,86.53333333333333,152597.73500000002,NA,NA,NA,NA,NA,NA,NA,NA,5
7954,201109,108.16666666666666,285649.91000000003,NA,NA,NA,16530.886000000002,43568.886,NA,NA,NA,4
7955,201109,72.1111111111111,358835.082,13951.385000000004,NA,1282752.4600000004,129682.84,954047.1790000001,NA,NA,NA,6
7956,201109,48.07407407407407,53191447.09600001,711358.8350000001,NA,NA,19612538.407000005,475595.16500000004,11739259.614000002,4596234.443,NA,9
7957,201109,108.16666666666666,321863.123,23898.791000000005,NA,291387.2320000001,169753.708,1400574.0780000002,NA,NA,NA,4
7958,201109,72.1111111111111,265903.649,81640.73400000003,NA,151383.18200000003,98888.025,765379.4150000002,NA,NA,NA,6
7959,201110,72.1111111111111,115147.82700000005,36329.31,NA,NA,12051.100000000002,NA,NA,NA,NA,6
7960,201110,72.1111111111111,108840.13700000002,NA,NA,NA,NA,NA,NA,NA,NA,6
7961,201110,86.53333333333333,51872696.37900001,374158.037,NA,NA,2713361.1030000006,52086.02,3774250.217,6230627.506000001,146359.424,5
7962,201110,54.08333333333333,29146163.587,67815.03,NA,11954384.124000002,1107404.579,766796.166,180833.82800000004,94340.115,NA,8
7963,201110,72.1111111111111,61309050.057,NA,NA,16176599.111000001,4564197.521,6261466.730000001,259116.90700000004,99514.94400000002,NA,6
7964,201110,61.8095238095238,31893332.646999996,81709.50599999998,NA,716285.3900000001,222196.369,79520.67200000002,126076.006,233085.71900000004,NA,7
7966,201117,72.1111111111111,693583.807,16745.347,308820.82200000004,NA,161324.723,138518.239,NA,NA,NA,6
7967,201117,72.1111111111111,511776.4080000001,18710.859,NA,NA,NA,NA,NA,NA,NA,6
7969,201117,72.1111111111111,415378.62500000006,103433.93000000001,NA,NA,18443.814,NA,NA,NA,NA,6
7974,201117,108.16666666666666,44051677.7,176858.472,NA,1427233.0510000002,11507137.795000002,19037115.427,15096142.709000003,NA,NA,4
7976,201117,108.16666666666666,46794098.679,101637.31500000002,NA,NA,17508512.961000003,498515.164,11723290.71,2296357.1170000006,NA,4
7977,201117,86.53333333333333,10612416.876000002,160788.14800000002,NA,NA,635889.101,NA,249508.92799999999,NA,NA,5
7978,201117,86.53333333333333,846773.6750000003,35468.797000000006,NA,2152709.626,488134.2420000001,2327778.843,NA,NA,684397.276,5
7979,201117,86.53333333333333,373362.83400000003,52704.628,NA,NA,17828.891,28806.681,NA,NA,NA,5
7980,201117,86.53333333333333,447956.534,36648.70500000001,NA,NA,15869.514999999998,39129.893000000004,75442.08300000001,NA,NA,5
7981,201117,144.2222222222222,542950.477,46131.850000000006,NA,245298.77000000002,61440.4,1061242.0970000003,NA,NA,540153.08,3
7982,201117,72.1111111111111,86229686.798,877608.4390000002,NA,NA,7291084.695000002,123081.952,4221753.4690000005,7430617.411000002,231790.655,6
7984,201117,61.8095238095238,53928662.80600001,886177.2770000001,NA,194197.10800000004,1497977.976,132390.217,3071210.775,NA,NA,7
7985,201117,86.53333333333333,503633.22000000003,43656.536,NA,NA,39557.74100000001,NA,NA,NA,NA,5
7986,201117,144.2222222222222,475407.73300000007,NA,NA,NA,NA,NA,NA,NA,NA,3
7987,201117,86.53333333333333,384650.3990000001,14148.837,NA,NA,77391.947,NA,NA,NA,NA,5
7988,201117,86.53333333333333,463448.13300000003,53097.688,NA,NA,48144.776000000005,190589.84,NA,NA,NA,5
7989,201117,86.53333333333333,454024.073,27542.455,NA,NA,10961.971,NA,NA,NA,NA,5
7990,201117,86.53333333333333,430073.31,133607.83500000002,NA,NA,63472.247,83622.16000000002,NA,NA,NA,5
