Population,Plant_id,Mean_nectar
Fr1,23,0.03785416666666667
Fr1,51,0
Fr1,58,0.04509375
Fr1,65,0.020104166666666666
Fr1,69,0.040093750000000004
Fr1,81,0.031375
Fr1,83,0.020291666666666666
Fr1,93,0
Fr1,105,0.028958333333333332
Fr1,130,0.020666666666666667
Fr2,28,0.0195
Fr2,32,0.052520833333333336
Fr2,44,0.006510416666666667
Fr2,50,0.025041666666666667
Fr2,66,0.05271875
Fr2,86,0.04033333333333334
Fr2,92,0.013604166666666667
Fr2,110,0.03434375
Fr2,132,0.027875
Fr2,162,0.00890625
Fr2,164,0.01521875
Fr3,270,0.00396875
Fr3,271,0.0079375
Fr3,272,0
Fr3,277,0.005916666666666666
Fr3,279,0
Fr3,283,0.0030520833333333333
Fr3,284,0
Fr3,285,0
Fr3,286,0.004864583333333334
Fr3,288,0.0043125
Fr3,309,0.003765625
Fr3,313,0.0143125
Fr4,29,0.01525
Fr4,64,0.03220833333333333
Fr4,70,0.033812499999999995
Fr4,98,0.05205208333333333
Fr4,143,0.028020833333333335
Fr4,148,0.025989583333333333
Fr4,150,0.004541666666666667
Fr4,152,0
Fr4,157,0.017156249999999998
Fr4,204,0.033875
Fr4,280,0.01203125
G3,302,0.029083333333333333
G3,328,0.027552083333333335
G3,334,0.0027187500000000002
G3,336,0
G3,340,0.0270625
G3,341,0.03730208333333333
G3,346,0.024895833333333336
G3,348,0
G3,349,0.018260416666666668
G3,351,0.09561458333333334
G3,353,0.007052083333333334
G3,354,0.020864583333333336
G3,357,0.0034609375
G3,358,0.006229166666666667
G3,366,0.008125
G3,377,0.027822916666666666
G4,298,0.08896875000000001
G4,299,0.05094791666666666
G4,303,0.24070833333333333
G4,316,0.1398125
G4,319,0.03432291666666667
G4,321,0.06829166666666667
G4,322,0.0699375
G4,325,0.0819375
G4,326,0.063875
G4,327,0.04028125
G4,329,0.12052083333333333
G4,330,0.10015625
G4,333,0.10313541666666666
G4,335,0.03190625
G4,337,0.06626041666666667
G4,339,0.06334375
G4,342,0.07882291666666666
G4,343,0.07436458333333333
G4,355,0.03910416666666667
G4,360,0.09474479166666666
G4,361,0.0520625
G4,362,0
G4,363,0.06986458333333333
G4,364,0.081703125
G4,367,0.21527083333333333
G4,368,0.04932291666666667
G4,369,0.06496354166666667
G4,370,0.06981770833333334
G4,372,0.034166666666666665
G4,374,0.022151041666666666
G4,378,0.0698984375
G4,380,0.0491875
G4,383,0.11511979166666667
G5,304,0.38490625
G5,305,0.10723958333333333
G5,318,0.02402083333333333
G5,332,0.08113541666666667
G5,338,0.13305208333333335
G5,345,0.020010416666666666
G5,352,0.051000000000000004
G5,365,0.04454166666666667
G5,375,0.029953125
G5,376,0.15696354166666668
G5,379,0.030713541666666667
G5,384,0.14978125
G5,385,0.169234375
It10,4,0.1384375
It10,7,0.01146875
It10,53,0.032140625
It10,68,0.00328125
It10,85,0.09671875
It10,107,0.050979166666666666
It10,108,0.0341875
It10,112,0.054531249999999996
It10,118,0.02515625
It10,128,0.04164583333333333
It10,133,0.03941666666666666
It10,252,0.05275
It10,281,0.31407291666666665
It13,49,0.13608333333333333
It13,60,0.15187499999999998
It13,72,0.11646875
It13,102,0.08295833333333333
It13,149,0.02809375
It13,151,0.0793125
It13,176,0.15617708333333333
It13,183,0.05048958333333333
It13,184,0.04471875
It15,238,0.043687500000000004
It15,239,0.05919791666666667
It15,240,0.022385416666666668
It15,241,0.016510416666666666
It15,243,0.025364583333333333
It15,244,0.07388541666666666
It15,250,0.023895833333333335
It15,251,0.04113541666666667
It15,256,0.0259375
It15,307,0.03215625
It15,310,0.21529166666666666
It16,253,0.031677083333333335
It16,254,0
It16,255,0.038593749999999996
It16,257,0.03480208333333333
It16,258,0.0661875
It16,263,0.05241666666666667
It16,265,0.0062499999999999995
It16,266,0.200546875
It16,269,0.08945833333333333
It16,287,0.13297916666666665
It16,295,0
It17,48,0.1153671875
It17,55,0.05529166666666666
It17,59,0.06929166666666667
It17,63,0.06741666666666667
It17,74,0.09830208333333333
It17,75,0.04544791666666667
It17,77,0.12023958333333333
It17,125,0.27297916666666666
It17,311,0.2496875
It17,314,0.07529166666666667
It18,131,0.109125
It18,245,0.04878125
It18,248,0.28200000000000003
It18,278,0.01709375
It18,289,0.020604166666666666
It18,290,0.03367708333333334
It18,300,0.06609374999999999
It18,301,0.004484375
It18,315,0.045875
It2,84,0.06195833333333334
It2,96,0.06905208333333333
It2,173,0
It2,200,0.17264583333333333
It2,202,0.15865625
It2,205,0.0934375
It2,207,0.030927083333333334
It2,214,0.06305208333333333
It2,218,0.04502083333333333
It2,220,0.03313541666666667
It2,308,0.10830208333333334
It2,312,0.08440625
It4,261,0.034958333333333334
It4,262,0.12870312499999997
It4,264,0.09538541666666667
It4,267,0.08719791666666667
It4,268,0.08684375
It4,291,0.0944375
It4,292,0.01146875
It4,293,0
It4,294,0.049718750000000006
It5,99,0.03655208333333333
It5,101,0.054447916666666665
It5,187,0.16940625
It5,194,0.026625
It5,197,0.04846875
It5,199,0.16059375
It5,203,0.16553125000000002
It5,210,0.071921875
It5,212,0.0624375
