Plant_id,Full_ID,Scent_ID,Population,Mean_nectar,Notes,
318,G5:2018:14:a,8638,G5,0.024020833,,
377,G3:2018:G105:5:a,8639,G3,0.027822917,,
340,G3:2018:G106:4:a,8640,G3,0.0270625,,
352,G5:2018:14:b,8646,G5,0.051,,
372,G4:2018:12:b,8647,G4,0.034166667,,
328,G3:43:b,8648,G3,0.027552083,,
305,G5:2018:12:b,8650,G5,0.107239583,,
335,G4:2018:12:a,8660,G4,0.03190625,,
358,G3:2018:G136:1:b,8662,G3,0.006229167,,
316,G4:2018:3:b,8663,G4,0.1398125,,
321,G4:2018:3:a,8664,G4,0.068291667,,
302,G3:2018:G175:1:HP:b,8665,G3,0.029083333,,
345,G5:2018:4:a,8666,G5,0.020010417,,
376,G5:2018:G5,8667,G5,0.156963542,,
332,G5:2018:G5:1:a,8651,G5,0.081135417,,
374,G4:2018:8:b(2),8677,G4,0.022151042,,
355,G4:2018:2:a,8679,G4,0.039104167,,
379,G5:2018:11:b,8680,G5,0.030713542,,
378,G4:2018:11:b(2),8681,G4,0.069898438,,
361,G4:2018:15:a,8682,G4,0.0520625,,
370,G4:2018:14:a,8683,G4,0.069817708,,
363,G4:2018:1:a,8686,G4,0.069864583,,
369,G4:2018:15:b,8687,G4,0.064963542,,
304,G5:2018:13,8688,G5,0.38490625,,
270,It11:22:b,8887,Fr3/IT11,0.00396875,IT11  was renamed Fr3,
199,It5:M5a:20:a,8905,It5,0.16059375,Only M5?,
290,It18:3:a,8915,It18,0.033677083,,
63,It17:115:b,8932,It17,0.067416667,,
248,It18:8:b,8935,It18,0.282,,
368,G4:2018:1:b,8543#2,G4,0.049322917,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
